FlightDateTime,Flight,Model,Variable,MEAN,MAX,MIN,MEDIAN,STD,SRC_WT_MEAN
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Brutsaert,u_star,0.3247260053627474,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Brutsaert,Psi_M,1.2290642279107153,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Brutsaert,Psi_H,3.0046563328142244,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Brutsaert,r_aH,50.22962295013748,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Brutsaert,r_bH,5.365451916472029,11.078179668298997,1.1081811653974645,4.917516197517692,2.009507436766138,3.1395613068022596
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Brutsaert,r_H,55.59507486660987,61.30780261843648,51.337804115534944,55.147139147655174,2.009507436766035,39.19616316551361
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Brutsaert,L,-11.540163824034206,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Brutsaert,H,235.73882233321308,646.9707688698478,0.0,237.070479783588,64.39674831693036,147.77235617770785
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Brutsaert,LE,301.3556838448714,636.6572265625,0.0,300.0245504517792,94.27518132681575,252.36848450530528
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Brutsaert,ET,0.4417825628918132,0.9333292063578975,0.0,0.43983114284740565,0.1382058924267007,0.3699681202471341
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Brutsaert,EF,0.5529656632290318,1.0,0.0,0.5580122577232809,0.14526869753686744,0.4502458618186992
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Bowen,zeta,,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Bowen,u_star,,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Bowen,Psi_M,,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Bowen,Psi_H,,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Bowen,r_aH,,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Bowen,r_bH,,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Bowen,r_H,65.96082305908203,323.08404541015625,-19.12371826171875,63.76663589477539,38.39806365966797,40.438794110606096
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Bowen,L,,,,,,
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Bowen,H,212.89947509765625,256.589599609375,128.29701232910156,215.548095703125,102.99681854248047,169.7585312912681
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Bowen,LE,315.35260009765625,380.067626953125,190.03709411621094,319.27581787109375,119.01575469970703,251.45105600927022
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Bowen,ET,0.46230342984199524,0.557172954082489,0.2785913050174713,0.4680531620979309,0.16390018165111542,0.36862318242516356
2021-03-24 12:30:00-07:00,2021-03-24 11:58:32.200000-07:00,Bowen,EF,0.5969762802124023,0.5969737768173218,0.5969736576080322,0.596973717212677,0.23178985714912415,0.45572656392317124
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Neutral,zeta,0.0,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Neutral,u_star,0.2295715218467367,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Neutral,Psi_M,0.0,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Neutral,Psi_H,0.0,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Neutral,r_aH,102.89781102599841,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Neutral,r_bH,9.065025104316637,13.072084663637936,1.7703175510798193,8.88252314297069,1.838649112312622,6.362343944971729
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Neutral,r_H,111.962836130315,115.96989568963635,104.66812857707822,111.78033416896909,1.8386491123124218,77.69071915238506
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Neutral,L,-12.290431712670097,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Neutral,H,63.67176998479827,186.59978421227606,9.088105877377838,63.180291810675826,11.116612033989188,43.02814606706728
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Neutral,LE,313.1114953757935,398.5192657716797,113.20448010190964,313.47591911878703,18.08299939702066,218.71191098938425
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Neutral,ET,0.4569980700269365,0.5816539412186963,0.16522622033689513,0.4575299602630982,0.026392821556481268,0.3192183062269618
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Neutral,EF,0.8304345991892929,0.9775089884359796,0.38146893398131476,0.8322639807312262,0.03249067569908083,0.5791243719476509
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Dyer,zeta,-3.2732226963432143,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Dyer,u_star,0.30280955196722503,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Dyer,Psi_M,1.7936305033182607,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Dyer,Psi_H,2.847561849875563,,,,,
2022-01-18 10:30:00-08:00,2022-01-18 10:09:30.400000-08:00,Dyer,r_aH,55.08776643754334,,,,,
